CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022007020,Hit fixed object,Chester,front quarter panel/side mirror,2GNAXKEV6K6A00000,CHEVROLET,Equinox,2019
2022007061,Rear-end,Delaware,rear bumper,1GCRKSE38BZA00000,CHEVROLET,Silverado,2011
2022007147,Hit fixed object,Montgomery,front bumper,KMHGH4JH3GUA00000,HYUNDAI,Equus,2016
2022007163,Sideswipe (same dir.),Philadelphia,front bumper,1ZVBP8AM7D5A00000,FORD,Mustang,2013
2022007167,Hit fixed object,Chester,front quarter panel/side mirror,2GNALDEK8D1A00000,CHEVROLET,Equinox,2013
2022007309,Rear-end,Montgomery,rear bumper,3N1AB7AP9KYA00000,NISSAN,Sentra,2019
2022007338,Rear-end,Delaware,front bumper,1C4BJWDG7HLA00000,JEEP,Wrangler,2017
2022007393,Rear-end,Philadelphia,rear bumper,5NPEB4AC3CHA00000,HYUNDAI,Sonata,2012
2022007396,Angle,Chester,front bumper,2T2BK1BA0FCA00000,LEXUS,RX,2015
2022007427,Rear-end,Philadelphia,rear bumper,1FA6P8TH3K5A00000,FORD,Mustang,2019
2022007463,Sideswipe (same dir.),Delaware,rear bumper,5XXGM4A71EGA00000,KIA,Optima,2014
2022007470,Sideswipe (same dir.),Chester,front bumper/headlight,JN1CV6ARXDMA00000,INFINITI,G37,2013
2022007481,Hit fixed object,Montgomery,front quarter panel/side mirror,3MZBM1K71FMA00000,MAZDA,Mazda3,2015
2022007544,Rear-end,Montgomery,rear bumper,1V2SR2CA5MCA00000,VOLKSWAGEN,Atlas,2021
2022007577,Rear-end,Philadelphia,rear bumper,5XXGR4A66FGA00000,KIA,Optima,2015
2022007612,Angle,Chester,front quarter panel/side mirror,WDDHF8JB8FBA00000,MERCEDES-BENZ,E-Class,2015
2022007656,Rear-end,Montgomery,rear bumper,1C4RDJDG4HCA00000,DODGE,Durango,2017
2022007656,Rear-end,Montgomery,rear bumper,1C4RDJDG4HCA00000,VOLKSWAGEN,Passat,2013
2022007656,Rear-end,Montgomery,front bumper,1VWAP7A3XDCA00000,DODGE,Durango,2017
2022007656,Rear-end,Montgomery,front bumper,1VWAP7A3XDCA00000,VOLKSWAGEN,Passat,2013
2022007669,Angle,Montgomery,front bumper,4T1BF1FKXFUA00000,TOYOTA,Camry,2015
2022007766,Angle,Montgomery,front bumper,1N4AA5AP9DCA00000,NISSAN,Maxima,2013
2022007777,Rear-end,Chester,rear bumper,KNAGG4A87A5A00000,KIA,Optima,2010
2022007814,Rear-end,Montgomery,rear bumper/tail light,KMHH35LE8JUA00000,HYUNDAI,Elantra GT,2018
2022007939,Sideswipe (same dir.),Delaware,front bumper/headlight,1C4SDJGJ3JCA00000,DODGE,Durango,2018
2022007978,Rear-end,Montgomery,front bumper,1G1FG3D7XJ0A00000,CHEVROLET,Camaro,2018
2022008119,Rear-end,Philadelphia,rear bumper,1G4GC5ED1BFA00000,BUICK,LaCrosse,2011
2022008128,Rear-end,Philadelphia,rear bumper,JTDKBRFU7H3A00000,TOYOTA,Prius,2017
2022008154,Rear-end,Montgomery,rear bumper,1FMCU9H91DUA00000,FORD,Escape,2013
2022008201,Rear-end,Delaware,rear bumper,1HGCV1F41LAA00000,HONDA,Accord,2020
2022008324,Rear-end,Montgomery,rear bumper,4T1BF1FK7CUA00000,TOYOTA,Camry,2012
2022008324,Rear-end,Montgomery,rear bumper,4T1BF1FK7CUA00000,NISSAN,Altima,2015
2022008324,Rear-end,Montgomery,front bumper,1N4BL3AP0FCA00000,TOYOTA,Camry,2012
2022008324,Rear-end,Montgomery,front bumper,1N4BL3AP0FCA00000,NISSAN,Altima,2015
2022008480,Angle,Montgomery,front bumper/headlight,1G1ZE5ST4HFA00000,CHEVROLET,Malibu,2017
2022008534,Rear-end,Chester,rear bumper,1C4BJWEGXDLA00000,JEEP,Wrangler,2013
2022008552,Angle,Montgomery,front bumper/headlight,5YFS4RCE3LPA00000,TOYOTA,Corolla,2020
2022008553,Head-on,Montgomery,front bumper,JM3KFBDM7K0A00000,MAZDA,CX-5,2019
